date,cur_price,open_price,high_price,low_price,trade_quantity,updown_rate
2018-11-12,0.57,0.51,0.57,0.5,11.16K,11.76%
2018-11-11,0.51,0.51,0.52,0.5,2.78K,0.00%
2018-11-10,0.51,0.5,0.53,0.5,15.52K,2.62%
2018-11-09,0.5,0.5,0.5,0.49,2.09K,0.00%
2018-11-08,0.5,0.49,0.54,0.49,13.39K,2.69%
2018-11-07,0.49,0.51,0.51,0.48,2.33K,-3.65%
2018-11-06,0.51,0.48,0.51,0.41,11.40K,5.53%
2018-11-05,0.48,0.51,0.51,0.48,7.20K,-6.09%
2018-11-04,0.51,0.54,0.56,0.48,10.25K,-4.04%
2018-11-03,0.54,0.51,0.55,0.44,8.88K,5.50%
2018-11-02,0.51,0.52,0.53,0.51,14.63K,-2.50%
2018-11-01,0.52,0.51,0.6,0.4,98.38K,1.48%
2018-10-31,0.51,0.46,0.52,0.45,17.54K,10.68%
2018-10-30,0.46,0.41,0.47,0.41,10.75K,12.07%
2018-10-29,0.41,0.44,0.47,0.4,10.97K,-5.77%
2018-10-28,0.44,0.45,0.47,0.44,2.82K,-2.27%
2018-10-27,0.45,0.42,0.45,0.42,1.67K,7.03%
2018-10-26,0.42,0.44,0.46,0.42,1.41K,-4.22%
2018-10-25,0.44,0.42,0.44,0.42,0.55K,4.69%
2018-10-24,0.42,0.44,0.44,0.42,0.91K,-5.75%
2018-10-23,0.44,0.39,0.49,0.39,38.37K,15.09%
2018-10-22,0.39,0.38,0.39,0.36,7.27K,0.00%
2018-10-21,0.38,0.38,0.38,0.37,2.25K,2.48%
2018-10-20,0.38,0.36,0.38,0.36,11.40K,3.64%
2018-10-19,0.36,0.39,0.39,0.33,9.65K,-6.28%
2018-10-18,0.39,0.38,0.4,0.37,13.48K,0.00%
2018-10-17,0.38,0.36,0.4,0.36,19.73K,5.31%
2018-10-16,0.36,0.35,0.37,0.34,2.15K,4.36%
2018-10-15,0.35,0.32,0.36,0.32,2.01K,8.91%
