date,cur_price,open_price,high_price,low_price,trade_quantity,updown_rate
2018-09-29,3.6847,3.5245,3.749,3.4234,2.58M,4.54%
2018-09-28,3.5245,3.651,3.7063,3.4541,2.35M,-3.46%
2018-09-27,3.651,3.3514,3.7406,3.3061,2.32M,8.94%
2018-09-26,3.3514,3.3788,3.4787,3.2891,1.61M,-0.74%
2018-09-25,3.3764,3.4133,3.4133,3.208,2.20M,-1.03%
2018-09-24,3.4117,3.6336,3.6842,3.3486,2.52M,-6.11%
2018-09-23,3.6336,3.5592,3.7544,3.5382,1.99M,2.12%
2018-09-22,3.5583,3.7005,3.8407,3.4193,1.75M,-3.84%
2018-09-21,3.7005,3.3369,3.7343,3.3028,3.78M,10.90%
2018-09-20,3.3369,3.1304,3.397,3.1304,2.01M,6.60%
2018-09-19,3.1304,3.1621,3.2067,2.9945,2.09M,-1.00%
2018-09-18,3.1621,3.0921,3.2381,3.0546,2.10M,2.26%
2018-09-17,3.0921,3.4088,3.4403,3.0506,2.40M,-9.29%
2018-09-16,3.4088,3.5215,3.5215,3.2817,1.99M,-3.19%
2018-09-15,3.5211,3.4371,3.5633,3.4205,1.82M,2.44%
2018-09-14,3.4372,3.404,3.5308,3.3418,1.98M,0.97%
2018-09-13,3.404,3.2669,3.4779,3.2278,2.25M,4.30%
2018-09-12,3.2637,3.1844,3.2771,3.0382,2.34M,2.49%
2018-09-11,3.1844,3.4734,3.5694,3.0467,3.27M,-8.32%
2018-09-10,3.4733,3.3852,3.5737,3.3496,1.91M,2.60%
2018-09-09,3.3852,3.4007,3.6092,3.2861,2.16M,-0.46%
2018-09-08,3.4007,3.6752,3.7453,3.3353,2.89M,-7.47%
2018-09-07,3.6752,3.9596,4.0162,3.6247,3.00M,-7.16%
2018-09-06,3.9587,3.7339,3.9819,3.4186,4.12M,6.02%
2018-09-05,3.7339,4.806,5.0407,3.6939,3.79M,-22.31%
2018-09-04,4.806,4.4054,5.0734,4.3974,3.81M,9.09%
2018-09-03,4.4054,4.3591,4.5062,4.2137,1.72M,1.07%
2018-09-02,4.3588,4.5149,4.5407,4.1608,1.85M,-3.57%
2018-09-01,4.52,4.2214,4.5962,4.2047,1.89M,7.08%
2018-08-31,4.221,4.2227,4.3416,4.1328,1.58M,-0.04%
2018-08-30,4.2227,4.3583,4.3993,3.9649,1.93M,-3.11%
2018-08-29,4.3583,4.4581,4.6751,4.2575,2.17M,-2.25%
2018-08-28,4.4585,4.1681,4.519,4.1441,1.87M,6.96%
